Date,Week,Month,Year,Location,Rate
01/07/2004,1,1,2004,Twin Cities,
01/07/2004,1,1,2004,Mid-Mississippi,
01/07/2004,1,1,2004,Lower Illinois,200.00
01/07/2004,1,1,2004,St. Louis,162.00
01/07/2004,1,1,2004,Cincinnati,163.75
01/07/2004,1,1,2004,Lower Ohio,165.00
01/07/2004,1,1,2004,Cairo-Memphis,152.50
01/14/2004,2,1,2004,Twin Cities,
01/14/2004,2,1,2004,Mid-Mississippi,
01/14/2004,2,1,2004,Lower Illinois,200.00
01/14/2004,2,1,2004,St. Louis,162.00
01/14/2004,2,1,2004,Cincinnati,169.50
01/14/2004,2,1,2004,Lower Ohio,169.50
01/14/2004,2,1,2004,Cairo-Memphis,149.00
01/21/2004,3,1,2004,Twin Cities,
01/21/2004,3,1,2004,Mid-Mississippi,
01/21/2004,3,1,2004,Lower Illinois,194.00
01/21/2004,3,1,2004,St. Louis,157.00
01/21/2004,3,1,2004,Cincinnati,172.00
01/21/2004,3,1,2004,Lower Ohio,171.00
01/21/2004,3,1,2004,Cairo-Memphis,144.00
01/28/2004,4,1,2004,Twin Cities,
01/28/2004,4,1,2004,Mid-Mississippi,
01/28/2004,4,1,2004,Lower Illinois,208.00
01/28/2004,4,1,2004,St. Louis,150.00
01/28/2004,4,1,2004,Cincinnati,161.00
01/28/2004,4,1,2004,Lower Ohio,159.00
01/28/2004,4,1,2004,Cairo-Memphis,137.00
02/04/2004,5,2,2004,Twin Cities,
02/04/2004,5,2,2004,Mid-Mississippi,
02/04/2004,5,2,2004,Lower Illinois,214.00
02/04/2004,5,2,2004,St. Louis,147.00
02/04/2004,5,2,2004,Cincinnati,152.00
02/04/2004,5,2,2004,Lower Ohio,151.00
02/04/2004,5,2,2004,Cairo-Memphis,127.00
02/11/2004,6,2,2004,Twin Cities,
02/11/2004,6,2,2004,Mid-Mississippi,
02/11/2004,6,2,2004,Lower Illinois,183.00
02/11/2004,6,2,2004,St. Louis,135.00
02/11/2004,6,2,2004,Cincinnati,134.00
02/11/2004,6,2,2004,Lower Ohio,134.00
02/11/2004,6,2,2004,Cairo-Memphis,118.00
02/18/2004,7,2,2004,Twin Cities,
02/18/2004,7,2,2004,Mid-Mississippi,
02/18/2004,7,2,2004,Lower Illinois,181.00
02/18/2004,7,2,2004,St. Louis,133.00
02/18/2004,7,2,2004,Cincinnati,131.00
02/18/2004,7,2,2004,Lower Ohio,130.00
02/18/2004,7,2,2004,Cairo-Memphis,117.00
02/25/2004,8,2,2004,Twin Cities,
02/25/2004,8,2,2004,Mid-Mississippi,
02/25/2004,8,2,2004,Lower Illinois,161.00
02/25/2004,8,2,2004,St. Louis,130.00
02/25/2004,8,2,2004,Cincinnati,126.00
02/25/2004,8,2,2004,Lower Ohio,125.00
02/25/2004,8,2,2004,Cairo-Memphis,120.00
03/03/2004,9,3,2004,Twin Cities,
03/03/2004,9,3,2004,Mid-Mississippi,
04/12/2022,15,4,2022,St. Louis,655.00
03/03/2004,9,3,2004,Lower Illinois,160.00
03/03/2004,9,3,2004,St. Louis,130.00
03/03/2004,9,3,2004,Cincinnati,124.00
03/03/2004,9,3,2004,Lower Ohio,126.00
03/03/2004,9,3,2004,Cairo-Memphis,116.00
03/10/2004,10,3,2004,Twin Cities,
03/10/2004,10,3,2004,Mid-Mississippi,
03/10/2004,10,3,2004,Lower Illinois,149.00
03/10/2004,10,3,2004,St. Louis,127.00
03/10/2004,10,3,2004,Cincinnati,122.00
03/10/2004,10,3,2004,Lower Ohio,122.00
03/10/2004,10,3,2004,Cairo-Memphis,114.00
03/17/2004,11,3,2004,Twin Cities,
03/17/2004,11,3,2004,Mid-Mississippi,165.00
03/17/2004,11,3,2004,Lower Illinois,151.00
03/17/2004,11,3,2004,St. Louis,124.00
03/17/2004,11,3,2004,Cincinnati,122.00
03/17/2004,11,3,2004,Lower Ohio,121.00
03/17/2004,11,3,2004,Cairo-Memphis,112.00
03/24/2004,12,3,2004,Twin Cities,184.00
03/24/2004,12,3,2004,Mid-Mississippi,152.00
03/24/2004,12,3,2004,Lower Illinois,143.00
03/24/2004,12,3,2004,St. Louis,115.00
03/24/2004,12,3,2004,Cincinnati,119.00
03/24/2004,12,3,2004,Lower Ohio,119.00
03/24/2004,12,3,2004,Cairo-Memphis,110.00
03/31/2004,13,3,2004,Twin Cities,184.00
03/31/2004,13,3,2004,Mid-Mississippi,153.00
03/31/2004,13,3,2004,Lower Illinois,151.00
03/31/2004,13,3,2004,St. Louis,116.00
03/31/2004,13,3,2004,Cincinnati,118.00
03/31/2004,13,3,2004,Lower Ohio,118.00
03/31/2004,13,3,2004,Cairo-Memphis,110.00
04/07/2004,14,4,2004,Twin Cities,185.00
04/07/2004,14,4,2004,Mid-Mississippi,153.00
04/07/2004,14,4,2004,Lower Illinois,147.00
04/07/2004,14,4,2004,St. Louis,117.00
04/07/2004,14,4,2004,Cincinnati,118.00
04/07/2004,14,4,2004,Lower Ohio,118.00
04/07/2004,14,4,2004,Cairo-Memphis,111.00
04/14/2004,15,4,2004,Twin Cities,180.00
04/14/2004,15,4,2004,Mid-Mississippi,151.00
04/14/2004,15,4,2004,Lower Illinois,146.00
04/14/2004,15,4,2004,St. Louis,115.00
04/14/2004,15,4,2004,Cincinnati,115.00
04/14/2004,15,4,2004,Lower Ohio,116.00
04/14/2004,15,4,2004,Cairo-Memphis,110.00
04/21/2004,16,4,2004,Twin Cities,173.00
04/21/2004,16,4,2004,Mid-Mississippi,143.00
04/21/2004,16,4,2004,Lower Illinois,140.00
04/21/2004,16,4,2004,St. Louis,113.00
04/21/2004,16,4,2004,Cincinnati,113.00
04/21/2004,16,4,2004,Lower Ohio,113.00
04/21/2004,16,4,2004,Cairo-Memphis,109.00
04/28/2004,17,4,2004,Twin Cities,169.00
04/28/2004,17,4,2004,Mid-Mississippi,141.00
04/28/2004,17,4,2004,Lower Illinois,136.00
04/28/2004,17,4,2004,St. Louis,113.00
04/28/2004,17,4,2004,Cincinnati,112.00
04/28/2004,17,4,2004,Lower Ohio,112.00
04/28/2004,17,4,2004,Cairo-Memphis,108.00
05/05/2004,18,5,2004,Twin Cities,162.00
05/05/2004,18,5,2004,Mid-Mississippi,139.00
05/05/2004,18,5,2004,Lower Illinois,136.00
05/05/2004,18,5,2004,St. Louis,113.00
05/05/2004,18,5,2004,Cincinnati,111.00
05/05/2004,18,5,2004,Lower Ohio,112.00
05/05/2004,18,5,2004,Cairo-Memphis,108.00
05/12/2004,19,5,2004,Twin Cities,176.00
05/12/2004,19,5,2004,Mid-Mississippi,152.00
05/12/2004,19,5,2004,Lower Illinois,152.00
05/12/2004,19,5,2004,St. Louis,113.00
05/12/2004,19,5,2004,Cincinnati,113.00
05/12/2004,19,5,2004,Lower Ohio,113.00
05/12/2004,19,5,2004,Cairo-Memphis,108.00
05/19/2004,20,5,2004,Twin Cities,200.00
05/19/2004,20,5,2004,Mid-Mississippi,168.00
05/19/2004,20,5,2004,Lower Illinois,169.00
05/19/2004,20,5,2004,St. Louis,119.00
05/19/2004,20,5,2004,Cincinnati,113.00
05/19/2004,20,5,2004,Lower Ohio,113.00
05/19/2004,20,5,2004,Cairo-Memphis,108.00
05/26/2004,21,5,2004,Twin Cities,210.00
05/26/2004,21,5,2004,Mid-Mississippi,175.00
05/26/2004,21,5,2004,Lower Illinois,174.00
05/26/2004,21,5,2004,St. Louis,130.00
05/26/2004,21,5,2004,Cincinnati,114.00
05/26/2004,21,5,2004,Lower Ohio,114.00
05/26/2004,21,5,2004,Cairo-Memphis,112.00
06/02/2004,22,6,2004,Twin Cities,209.00
06/02/2004,22,6,2004,Mid-Mississippi,170.00
06/02/2004,22,6,2004,Lower Illinois,169.00
06/02/2004,22,6,2004,St. Louis,131.00
06/02/2004,22,6,2004,Cincinnati,117.00
06/02/2004,22,6,2004,Lower Ohio,117.00
06/02/2004,22,6,2004,Cairo-Memphis,114.00
06/09/2004,23,6,2004,Twin Cities,206.00
06/09/2004,23,6,2004,Mid-Mississippi,168.00
06/09/2004,23,6,2004,Lower Illinois,163.00
06/09/2004,23,6,2004,St. Louis,127.00
06/09/2004,23,6,2004,Cincinnati,115.00
06/09/2004,23,6,2004,Lower Ohio,115.00
06/09/2004,23,6,2004,Cairo-Memphis,118.00
06/16/2004,24,6,2004,Twin Cities,192.00
06/16/2004,24,6,2004,Mid-Mississippi,156.00
06/16/2004,24,6,2004,Lower Illinois,152.00
06/16/2004,24,6,2004,St. Louis,120.00
06/16/2004,24,6,2004,Cincinnati,113.00
06/16/2004,24,6,2004,Lower Ohio,113.00
06/16/2004,24,6,2004,Cairo-Memphis,111.00
06/23/2004,25,6,2004,Twin Cities,184.00
06/23/2004,25,6,2004,Mid-Mississippi,151.00
06/23/2004,25,6,2004,Lower Illinois,150.00
06/23/2004,25,6,2004,St. Louis,120.00
06/23/2004,25,6,2004,Cincinnati,111.00
06/23/2004,25,6,2004,Lower Ohio,111.00
06/23/2004,25,6,2004,Cairo-Memphis,110.00
06/30/2004,26,6,2004,Twin Cities,184.00
06/30/2004,26,6,2004,Mid-Mississippi,152.00
06/30/2004,26,6,2004,Lower Illinois,151.00
06/30/2004,26,6,2004,St. Louis,117.00
06/30/2004,26,6,2004,Cincinnati,111.00
06/30/2004,26,6,2004,Lower Ohio,111.00
06/30/2004,26,6,2004,Cairo-Memphis,111.00
07/07/2004,27,7,2004,Twin Cities,183.00
07/07/2004,27,7,2004,Mid-Mississippi,152.00
07/07/2004,27,7,2004,Lower Illinois,151.00
07/07/2004,27,7,2004,St. Louis,114.00
07/07/2004,27,7,2004,Cincinnati,112.00
07/07/2004,27,7,2004,Lower Ohio,113.00
07/07/2004,27,7,2004,Cairo-Memphis,109.00
07/14/2004,28,7,2004,Twin Cities,177.00
07/14/2004,28,7,2004,Mid-Mississippi,147.00
07/14/2004,28,7,2004,Lower Illinois,146.00
07/14/2004,28,7,2004,St. Louis,112.00
07/14/2004,28,7,2004,Cincinnati,114.00
07/14/2004,28,7,2004,Lower Ohio,114.00
07/14/2004,28,7,2004,Cairo-Memphis,108.00
07/21/2004,29,7,2004,Twin Cities,177.00
07/21/2004,29,7,2004,Mid-Mississippi,152.00
07/21/2004,29,7,2004,Lower Illinois,153.00
07/21/2004,29,7,2004,St. Louis,113.00
07/21/2004,29,7,2004,Cincinnati,114.00
07/21/2004,29,7,2004,Lower Ohio,114.00
07/21/2004,29,7,2004,Cairo-Memphis,109.00
07/28/2004,30,7,2004,Twin Cities,198.00
07/28/2004,30,7,2004,Mid-Mississippi,181.00
07/28/2004,30,7,2004,Lower Illinois,194.00
07/28/2004,30,7,2004,St. Louis,151.00
07/28/2004,30,7,2004,Cincinnati,155.00
07/28/2004,30,7,2004,Lower Ohio,154.00
07/28/2004,30,7,2004,Cairo-Memphis,144.00
08/04/2004,31,8,2004,Twin Cities,221.00
08/04/2004,31,8,2004,Mid-Mississippi,212.00
08/04/2004,31,8,2004,Lower Illinois,210.00
08/04/2004,31,8,2004,St. Louis,180.00
08/04/2004,31,8,2004,Cincinnati,182.00
08/04/2004,31,8,2004,Lower Ohio,181.00
08/04/2004,31,8,2004,Cairo-Memphis,177.00
08/11/2004,32,8,2004,Twin Cities,225.00
08/11/2004,32,8,2004,Mid-Mississippi,225.00
08/11/2004,32,8,2004,Lower Illinois,220.00
