country,lifeexp,pop,GDP10yr,income,Region,wb_class
Afghanistan,61.2,34400000,9.170714286,1770,Asia_Australia_Pacific,L
Albania,78,2890000,4.822857143,10400,Europe,UM
Algeria,77.1,39700000,3.377142857,13200,Africa,UM
Andorra,82.6,78000,3.092583333,41900,Europe,H
Angola,63.3,27900000,9.265,6650,Africa,LM
Antigua and Barbuda,76.9,93600,2.107142857,20400,Latin America_ Caribbean,UM
Argentina,76.5,43100000,4.077214286,19400,Latin America_ Caribbean,UM
Armenia,75.3,2930000,7.518571429,7510,Asia_Australia_Pacific,LM
Australia,82.5,23900000,3.109285714,42800,Asia_Australia_Pacific,H
Austria,81.5,8680000,1.644857143,44600,Europe,H
Azerbaijan,70.5,9620000,12.63492857,15900,Asia_Australia_Pacific,UM
Bahamas,73.3,374000,0.993071429,30100,Latin America_ Caribbean,H
Bahrain,79.3,1370000,7.349285714,41000,Asia_Australia_Pacific,H
Bangladesh,72.5,156000000,5.796428571,2790,Asia_Australia_Pacific,L
Barbados,77.1,285000,0.890085714,16300,Latin America_ Caribbean,H
Belarus,73.8,9440000,6.1385,17500,Europe,UM
Belgium,80.9,11300000,1.304978571,41100,Europe,H
Belize,74,361000,3.825357143,7880,Latin America_ Caribbean,LM
Benin,63.5,10600000,4.387857143,1860,Africa,L
Bhutan,73.5,728000,8.377142857,7550,Asia_Australia_Pacific,LM
Bolivia,72.2,10900000,4.002857143,5720,Latin America_ Caribbean,LM
Bosnia and Herzegovina,76.4,3430000,2.702571429,10000,Europe,UM
Botswana,66.9,2120000,4.515714286,14300,Africa,UM
Brazil,75.5,204000000,3.296714286,15200,Latin America_ Caribbean,UM
Brunei,75.1,415000,1.414142857,82200,Asia_Australia_Pacific,H
Bulgaria,74.8,7200000,3.708642857,15800,Europe,UM
Burkina Faso,60.7,18100000,5.593571429,1520,Africa,L
Burundi,60.8,10200000,3.153142857,748,Africa,L
Cambodia,69.3,15500000,7.794857143,2810,Asia_Australia_Pacific,L
Cameroon,61.2,23300000,3.627857143,2970,Africa,LM
Canada,81.7,36000000,2.125428571,41800,North America,H
Cape Verde,75.3,525000,5.347071429,6090,Africa,LM
Central African Republic,50.9,4490000,-1.269335714,1060,Africa,L
Chad,59.2,14100000,7.777,1950,Africa,L
Chile,79.6,18000000,4.374285714,21200,Latin America_ Caribbean,UM
China,76.5,1410000000,8.099285714,11100,Asia_Australia_Pacific,UM
Colombia,80,47500000,4.298571429,12000,Latin America_ Caribbean,UM
Comoros,68,777000,2.254714286,2480,Africa,L
"Congo, Dem. Rep.",61.3,76200000,4.608571429,706,Africa,L
"Congo, Rep.",62.2,4860000,4.776285714,5420,Africa,LM
Costa Rica,79.9,4850000,4.400714286,13800,Latin America_ Caribbean,UM
Cote d'Ivoire,61,23200000,1.446714286,2700,Africa,LM
Croatia,77.6,4230000,1.6735,20300,Europe,H
Cuba,78.2,11300000,4.577692308,7140,Latin America_ Caribbean,UM
Cyprus,81.5,1160000,1.402507857,31800,Asia_Australia_Pacific,H
Czech Republic,78.8,10600000,2.62,28500,Europe,H
Denmark,80.9,5690000,0.882857143,44300,Europe,H
Djibouti,66.3,914000,3.386428571,2830,Africa,LM
Dominica,72.4,71200,1.409785714,10100,Latin America_ Caribbean,UM
Dominican Republic,72.8,10300000,5.632142857,11800,Latin America_ Caribbean,UM
Ecuador,76.6,16200000,3.121928571,10300,Latin America_ Caribbean,UM
Egypt,70.2,92400000,3.985714286,9980,Africa,LM
El Salvador,72.1,6330000,1.2215,6650,Latin America_ Caribbean,LM
Equatorial Guinea,64.7,1170000,13.09785714,35900,Africa,H
Eritrea,61.6,3340000,0.941428571,1180,Africa,L
Estonia,77.7,1320000,4.776428571,25700,Europe,H
Eswatini,55.8,1100000,3.2125,8710,Africa,LM
Ethiopia,67.2,101000000,8.364285714,1230,Africa,L
Fiji,67.8,869000,1.243071429,7610,Asia_Australia_Pacific,LM
Finland,81.6,5480000,1.636142857,39900,Europe,H
France,82.5,64500000,1.1412,37400,Europe,H
Gabon,67,1950000,8.733571429,16200,Africa,UM
Gambia,65.1,2090000,4.068571429,1480,Africa,L
Georgia,73,4020000,5.171428571,8080,Asia_Australia_Pacific,LM
Germany,80.7,81800000,1.198528571,42800,Europe,H
Ghana,64.4,27800000,6.355714286,3600,Africa,LM
Greece,80.8,10700000,0.785,24400,Europe,H
