age,gender,emp,income,children,region,area,choice,concerns
62,Female,Out of work but not currently looking for work,,None,Midwest,Suburban,"Type of food, cleanliness, price, atmosphere",Food safety and contracting covid 19
69,Female,Retired,,None,Midwest,Urban,bet food and prices,none
21,Male,Student,,1,Northeast,Urban,I look for good food,I might not eat food from restaurants.
31,Male,Military,21,None,South,Urban,Cleanliness,Cleanliness
80,Male,Retired,28,None,South,Rural,reasonable prices    good food,can't afford
37,Female,Employed for wages,30,1,Midwest,Suburban,Something good and cheap,MISSING
53,Male,Employed for wages,30,None,Midwest,Suburban,good food and price,MISSING
20,Female,Employed for wages,40,1,South,Urban,Menu and reviews,Continued spread of coronavirus
27,Female,Employed for wages,47,None,South,Rural,Cleanliness of staff and restaurant,Social distancing and cleanliness
38,Male,Employed for wages,47,None,Northeast,Suburban,Quality and the type of food served,How safe it is to eat a restaurant
43,Male,Self-employed,43,2,South,Suburban,Price and menu selection,Cleanliness
26,Male,Employed for wages,56,1,South,Urban,best deals,safe and clean
,Female,Unable to work,,1,South,Suburban,Food quality and atmosphere,Concerned that a lot of restaurants will be closed.
46,Male,Unable to work,,1,Midwest,Suburban,Fast food,If the restaurant is clean
62,Male,Self-employed,55,None,Midwest,Urban,,
69,Male,Retired,56,None,Midwest,Urban,Atmosphere,nothing
34,Male,Employed for wages,82,None,West,Suburban,,
47,Female,Homemaker,,None,South,Rural,The cleanliness of the establishment and how they handle the food is very important.  I like restaurants that have a good variety in their menu or have items I already know I like.  When restaurants open back up for business it will be a while before I start going and I will go when they are the least crowded.,I am concerned about the measures they will implement to maintain social distancing and avoid cross-contamination.
59,Male,Employed for wages,96,None,West,Suburban,Menu and price.,None
,Female,Retired,,None,South,Suburban,"Delicious food, good value, quiet enough to talk",Poor air circulation
,Female,Retired,,None,Northeast,Suburban,Good food pleasant service,
,Male,Retired,75,None,West,Urban,"Quality food, convenient location, value, overall experience","Employees spread a virus, customers spreading a virus"
19,Male,Self-employed,101,1,Midwest,Rural,"Price, convenience, and overall what Im in the mood for",Cleanliness
34,Female,Employed for wages,100,1,South,Urban,Delivery fee and time,Cleanliness and close proximity
40,Female,Employed for wages,103,2,Northeast,Suburban,Family friendly,Exposure to others.
58,Female,Retired,101,None,Midwest,Suburban,Food that I enjoy eating,Catching the virus
,Male,Unable to work,8,None,South,Urban,Price,Price
44,Male,Unable to work,2,None,South,Urban,Unknown at this point,Unknown at this point
34,Male,Employed for wages,20,None,Midwest,Urban,Quality good,Prices
38,Male,Employed for wages,23,None,Midwest,Urban,Food,Price
39,Male,Employed for wages,22,None,Midwest,Urban,Quality and service,Following safety issues due to covid 19
47,Male,Out of work and looking for work,24,None,South,Rural,Good value. Great food for a good price. And a place that is closer to home.,Possibly catching the virus or an illness due to carelessness.
34,Female,Employed for wages,30,2,South,Rural,good food snd service,not kepping the distance
47,Male,Employed for wages,45,1,West,Urban,Clean,Getting sick
51,Male,Self-employed,40,3,Midwest,Rural,that they are family friendly and they have good food,i really do not have any concerns about eating out at restrants
38,Female,Self-employed,61,1,South,Rural,mexican,noodles
44,Male,Employed for wages,65,1,South,Suburban,Easy to pick up and sanitize the place frequently,Social distance and sanitization.
52,Female,Out of work and looking for work,69,None,South,Urban,Type of food reviews price,Cleanliness and social distancing
64,Male,Retired,57,None,South,Urban,"Convenient location, type of foods desired to eat, reasonable prices, good service","Social distancing followed and feasible, enhanced sanitation practices,  adequate protection for employees"
25,Male,Employed for wages,83,1,Midwest,Suburban,Good food and atmosphere,Dirty people
31,Male,Employed for wages,82,None,South,Suburban,Pancakes,Bathrooms
68,Male,Retired,90,None,Midwest,Suburban,"Price, they are clean and they have quality food.",How clean the restaurant will be in the future.
72,Female,Retired,100,None,South,Rural,Type of food,Cleanliness
73,Female,Retired,97,None,South,Suburban,cleanliness and price,clenliness
77,Male,Self-employed,92,None,South,Suburban,Menu you like,virus
43,Female,Employed for wages,116,3,West,Urban,The customer service,Much more likely
60,Female,Employed for wages,104,None,Midwest,Urban,High quality and delicious food offerings.  I also want very good service.,Nothing really.
72,Female,Employed for wages,,1,South,Suburban,Health Inspection  Healthy menu,Sanitizing
24,Female,Student,20,None,West,Urban,Variety,Will it remain open or be closed
54,Female,Employed for wages,13,None,Northeast,Rural,Good vegetarian options,Spread of disease.  Being in close proximity of many other people.
53,Female,Out of work and looking for work,28,1,South,Urban,Healthy menu,Getting infected
54,Female,Unable to work,29,None,South,Urban,Reasonably priced,Disease
66,Female,Retired,27,None,South,Suburban,"quality, atomosphere, ratings, friend suggestions , skill of workers",covid 19 and ability to social distance
32,Male,Employed for wages,39,1,South,Suburban,Best prices.,Cleanliness.
35,Male,Self-employed,30,None,South,Urban,"Good reviews, types of food I like, accessibility and service.","If they are crowded, cleaning after guests, staff hygiene."
60,Female,Retired,39,None,West,Suburban,"The type of food they serve, the variety of the food served, the price of the food served, the atmosphere, rewards.",Germs.
61,Female,Employed for wages,30,None,South,Suburban,good food and large portions at low prices,not sure
27,Male,Self-employed,48,2,South,Rural,Being very clean,Getting infected by a virus
31,Male,Employed for wages,49,1,West,Urban,Good prices and food,The cleanliness
28,Male,Employed for wages,69,4 or more,South,Rural,How clean they are,How clean they keep everything
38,Female,Employed for wages,60,None,West,Suburban,good flavor and price,nothing
62,Female,Retired,57,None,South,Suburban,"Clean, good, inexpensive",Are the people prepping and cooking consistently following CdC recommendations? Are they being careful on a consistent daily level
65,Male,Retired,73,None,Midwest,Urban,Foodstuff,Cleaning
48,Prefer not to answer,Self-employed,76,None,South,Rural,Food quality,None
52,Female,Employed for wages,91,None,West,Urban,High ratings   high quality food and menu,Environment changed Sick patrons
63,Female,Employed for wages,94,None,West,Rural,food I like at a reasonable price,being exposed to covid-19
25,Male,Self-employed,105,1,West,Rural,Availability of what I want and quality of food,Risk of contacting the covid-19
36,Male,Employed for wages,119,3,Northeast,Rural,Good food,Catching the virus
37,Male,Employed for wages,115,None,Northeast,Urban,A diverse menu and a good beer list,Being able to eat while taking precautions to prevent getting sick
39,Male,Employed for wages,101,None,Northeast,Urban,Good quality,COVID-19
