year,month,date,sales
2018,1,1/1/2018,87048
2018,2,2/1/2018,88542
2018,3,3/1/2018,108350
2018,4,4/1/2018,98248
2018,5,5/1/2018,107939
2018,6,6/1/2018,103701
2018,7,7/1/2018,102680
2018,8,8/1/2018,107191
2018,9,9/1/2018,94975
2018,10,10/1/2018,98046
2018,11,11/1/2018,94379
2018,12,12/1/2018,100222
2019,1,1/1/2019,87114
2019,2,2/1/2019,89009
2019,3,3/1/2019,109845
2019,4,4/1/2019,103156
2019,5,5/1/2019,111772
2019,6,6/1/2019,104743
2019,7,7/1/2019,109269
2019,8,8/1/2019,114659
2019,9,9/1/2019,99537
2019,10,10/1/2019,103801
2019,11,11/1/2019,101101
2019,12,12/1/2019,103463
2020,1,1/1/2020,93268
2020,2,2/1/2020,97859
2020,3,3/1/2020,82677
2020,4,4/1/2020,69933
2020,5,5/1/2020,108267
2020,6,6/1/2020,115297
2020,7,7/1/2020,117263
