year,month,date,motor_vehicle_parts
2018,1,1/1/2018,"87,048"
2018,2,2/1/2018,"88,542"
2018,3,3/1/2018,"108,350"
2018,4,4/1/2018,"98,248"
2018,5,5/1/2018,"107,939"
2018,6,6/1/2018,"103,701"
2018,7,7/1/2018,"102,680"
2018,8,8/1/2018,"107,191"
2018,9,9/1/2018,"94,975"
2018,10,10/1/2018,"98,046"
2018,11,11/1/2018,"94,379"
2018,12,12/1/2018,"100,222"
2019,1,1/1/2019,"87,114"
2019,2,2/1/2019,"89,009"
2019,3,3/1/2019,"109,845"
2019,4,4/1/2019,"103,156"
2019,5,5/1/2019,"111,772"
2019,6,6/1/2019,"104,743"
2019,7,7/1/2019,"109,269"
2019,8,8/1/2019,"114,659"
2019,9,9/1/2019,"99,537"
2019,10,10/1/2019,"103,801"
2019,11,11/1/2019,"101,101"
2019,12,12/1/2019,"103,463"
2020,1,1/1/2020,"93,268"
2020,2,2/1/2020,"97,859"
2020,3,3/1/2020,"82,677"
2020,4,4/1/2020,"69,933"
2020,5,5/1/2020,"108,267"
2020,6,6/1/2020,"115,297"
2020,7,7/1/2020,"117,263"
