sale_price,sq_ft,acreage
91000,924,1.15
90000,960,1.16
190000,1008,0.76
116000,1035,0.03
103000,1035,0.03
98000,1035,0.03
143000,1043,0.11
120000,1080,0.03
152000,1104,0.24
190000,1148,0.03
155000,1158,0.09
175000,1160,0.16
132500,1188,0.12
95000,1188,0.12
152000,1189,0.11
147000,1212,0.12
140000,1216,0.02
133000,1216,0.02
121000,1216,0.02
149000,1228,0.13
139000,1248,0.03
137500,1248,0.03
136000,1248,0.03
134900,1248,0.03
133000,1248,0.03
115000,1248,0.03
113000,1248,0.03
117000,1248,0.03
119900,1248,0.03
110000,1248,0.03
75000,1248,0.17
154000,1253,0.03
156800,1253,0.03
113000,1254,0.03
120000,1260,1.3
150000,1263,0.09
175000,1292,0.09
118000,1292,0.09
147000,1298,0.1
173000,1298,0.11
155000,1304,0.12
205000,1304,0.17
284800,1313,0.21
176000,1317,0.13
160000,1324,0.14
130000,1330,0.14
189400,1330,0.17
99000,1333,0.05
205000,1342,0.11
173900,1342,0.11
162000,1342,0.11
194900,1344,4.97
164000,1351,0.11
185000,1352,0.15
205000,1358,0.12
47500,1358,0.13
115000,1360,0.03
99500,1360,0.03
171000,1365,0.09
180000,1366,0.16
157000,1366,0.18
191000,1370,0.13
220000,1372,0.23
165000,1372,0.23
96000,1380,0.14
147000,1383,0.03
141000,1383,0.03
137500,1383,0.03
123000,1383,0.03
110000,1383,0.03
149000,1385,0.12
178000,1399,0.09
129000,1412,0.03
135500,1412,0.03
109500,1412,0.03
124900,1412,0.05
121000,1412,0.05
125000,1412,0.05
120000,1412,0.06
40000,1415,0.04
178500,1424,0.13
190000,1424,0.17
180000,1424,0.23
221900,1435,0.1
255300,1435,0.1
228000,1435,0.1
261700,1435,0.1
195000,1437,0.1
203000,1437,0.11
183000,1438,0.1
215000,1440,0.13
165000,1440,2.4
164000,1444,0.12
206500,1444,0.16
249929,1449,1.15
205000,1452,0.23
163000,1467,0.12
181000,1470,0.11
107000,1477,0.03
207500,1484,0.13
135000,1488,1.13
149000,1490,0.14
170000,1493,0.13
145000,1496,0.1
174000,1498,0.12
200000,1498,0.13
185000,1498,0.15
111000,1506,0.03
140000,1506,0.05
125000,1506,0.05
100000,1512,0.31
205000,1514,0.13
212500,1516,0.1
217700,1519,0.15
215000,1524,0.14
265000,1525,0.1
265000,1525,0.13
162500,1536,0.11
185000,1538,0.2
172500,1540,0.06
150000,1540,0.06
175000,1540,0.08
228000,1540,0.1
220000,1545,0.1
178000,1546,0.14
192000,1548,0.1
193900,1548,0.13
175000,1556,1.16
174500,1558,0.15
219900,1560,0.16
219400,1561,0.13
80000,1564,1.19
137000,1565,0.1
192000,1574,0.2
125000,1578,0.06
194000,1584,0.1
207500,1584,0.12
165000,1587,0.18
181500,1594,0.02
192000,1595,0.1
164500,1595,0.12
145000,1597,2.54
228000,1602,0.2
226100,1606,0.08
208100,1606,0.08
207000,1611,0.71
184000,1613,0.1
154000,1613,0.1
205000,1620,0.98
163000,1620,1.54
245000,1625,0.1
197000,1631,0.11
225000,1634,0.14
215000,1635,0.11
218000,1635,0.11
225600,1638,0.14
204900,1642,0.13
228000,1642,0.13
240000,1644,0.11
293000,1649,0.23
240000,1650,0.12
251500,1652,0.11
190000,1652,0.17
220000,1660,0.16
265000,1660,0.18
225000,1671,0.16
183000,1673,0.16
256000,1676,0.16
179000,1677,0.12
238000,1678,0.13
212900,1688,0.39
147500,1689,0.13
249000,1689,0.51
210000,1694,0.18
206000,1696,0.12
167500,1698,0.13
160500,1701,2.46
189900,1705,0.13
127000,1708,0.05
98000,1708,0.05
219000,1712,0.14
196000,1716,0.17
219000,1720,0.12
230000,1720,0.13
231000,1720,0.14
230700,1720,0.14
155000,1720,0.14
219000,1720,0.18
215000,1720,0.25
233900,1722,0.13
210000,1722,0.2
120000,1728,2.66
209000,1736,0.18
199000,1736,0.22
240000,1738,0.15
241000,1740,0.2
232000,1740,0.2
202000,1747,0.13
218000,1751,0.15
197000,1760,0.02
195000,1760,0.02
195000,1760,1.82
225000,1766,0.18
188000,1766,0.39
135000,1766,1.03
217000,1769,0.11
207000,1771,0.17
230000,1777,0.07
218500,1777,0.08
224000,1777,0.08
218800,1777,0.08
218000,1777,0.08
227100,1777,0.08
230300,1777,0.08
239000,1777,0.09
260000,1777,0.09
213300,1777,0.09
254000,1777,0.1
275000,1782,0.18
228500,1782,0.19
150000,1782,0.91
265000,1783,0.15
220000,1784,0.13
245000,1786,0.13
225000,1786,0.13
257000,1798,0.16
269000,1802,0.14
204000,1802,0.14
225000,1805,0.1
225000,1805,0.14
239000,1810,0.13
215500,1810,0.13
249800,1813,0.15
