sale_price,sq_ft,acreage
124000,960,1.05
113000,1035,0.03
104900,1035,0.05
148000,1040,1.08
175000,1043,0.22
175000,1043,0.23
119000,1080,0.03
115900,1080,0.03
110000,1157,0.03
178900,1158,0.21
165900,1176,0.15
133000,1186,1
153000,1211,0.17
137000,1212,0.11
100000,1215,0.43
137500,1216,0.02
117000,1216,0.02
118000,1216,0.02
156000,1239,0.11
145000,1248,0.03
165000,1253,0.03
189900,1254,0.11
132000,1262,0.11
175000,1280,0.29
125000,1294,1
157500,1298,0.09
178500,1298,0.1
165000,1300,0.11
135000,1317,0.13
179900,1328,0.1
159000,1329,0.12
92000,1333,0.06
209000,1340,0.12
157000,1343,0.15
208000,1345,0.12
132300,1349,0.11
139900,1349,0.12
220000,1352,1.31
193000,1356,0.12
207500,1358,0.11
215000,1358,0.13
163000,1358,0.13
179000,1358,0.14
150000,1360,0.15
185000,1365,0.11
107000,1366,0.11
145000,1368,0.12
212000,1378,0.12
121500,1383,0.03
130500,1383,0.03
127000,1383,0.03
125000,1383,0.03
121000,1383,0.03
138000,1386,0.04
134000,1386,0.04
130500,1386,0.04
105000,1387,0.04
116000,1387,0.05
117000,1387,0.05
89900,1387,0.05
105000,1387,0.05
90000,1387,0.06
125000,1387,0.08
135000,1412,0.03
135900,1412,0.03
85000,1412,0.03
135000,1412,0.05
100000,1412,0.06
230300,1435,0.1
272000,1435,0.11
220800,1435,0.12
249400,1435,0.15
200000,1440,0.15
172000,1462,0.11
195000,1466,0.1
195000,1473,0.15
180000,1473,0.15
200000,1476,0.15
139000,1477,0.03
162500,1480,0.15
203000,1483,0.18
150000,1494,0.14
175000,1494,0.15
170000,1498,0.13
178000,1500,0.23
193800,1502,0.18
200000,1512,0.49
209000,1516,0.1
213800,1519,0.13
176000,1524,0.13
217500,1524,0.31
257600,1525,0.1
236400,1525,0.1
210000,1526,0.13
196900,1533,0.15
183500,1537,0.13
188000,1540,0.06
189900,1540,0.08
156900,1540,0.08
217000,1540,0.13
224600,1540,0.15
215000,1544,0.1
185000,1544,0.1
174000,1544,0.11
191700,1544,0.13
197000,1544,0.17
203000,1549,0.13
190000,1550,0.14
269000,1551,0.14
190000,1558,0.11
203000,1558,0.14
129500,1565,0.07
94000,1565,0.07
139000,1565,0.08
219900,1567,0.13
179900,1567,0.13
105000,1568,0.49
127000,1578,0.05
130000,1578,0.07
137000,1584,0.04
130000,1584,0.04
139900,1584,0.05
215000,1584,0.08
93000,1590,0.04
202000,1596,0.03
220500,1598,0.19
219600,1606,0.08
177000,1611,0.39
215000,1611,0.41
193000,1611,0.42
211000,1612,0.12
235000,1620,0.11
255000,1625,0.2
193000,1631,0.13
179500,1631,0.13
179500,1631,0.15
205000,1632,0.13
252500,1634,0.1
233500,1635,0.12
205000,1638,1.03
142500,1640,0.03
124900,1640,0.03
182500,1642,0.15
197500,1642,0.17
188000,1644,0.14
202000,1644,0.15
170000,1644,0.17
220000,1648,0.17
183000,1651,0.12
160000,1662,0.13
196000,1668,0.14
150000,1669,0.14
212000,1674,0.11
195000,1689,0.13
201000,1690,0.29
255000,1691,0.13
170000,1696,0.13
180000,1698,0.13
215000,1699,0.13
203000,1702,0.03
253000,1706,0.1
212000,1706,0.15
230000,1708,0.15
210000,1709,0.11
273600,1713,0.13
206000,1714,0.14
300000,1715,1.58
317500,1716,0.14
215000,1720,0.1
220000,1720,0.11
207000,1720,0.14
198000,1720,0.14
212500,1729,0.17
235000,1734,0.19
150000,1736,4.67
260000,1741,0.25
248000,1744,0.14
252700,1753,0.16
175000,1760,0.02
210700,1766,0.13
185000,1766,0.13
250000,1768,0.21
206000,1769,0.13
214000,1769,0.25
255000,1771,0.16
250000,1776,0.11
233000,1776,0.12
236000,1777,0.07
221100,1777,0.07
241200,1777,0.07
203000,1777,0.08
220000,1777,0.08
235000,1777,0.08
239000,1777,0.08
240000,1788,0.58
258400,1793,0.15
225000,1799,0.17
251000,1800,0.32
226900,1801,0.13
250000,1802,0.13
239000,1805,0.19
160000,1810,0.13
231700,1810,0.14
215000,1810,0.14
229600,1810,0.15
224100,1810,0.15
50100,1812,0.16
185000,1815,0.12
225000,1815,0.14
247000,1816,0.12
242000,1819,0.15
240000,1822,0.13
236500,1824,5.22
155000,1826,0.15
225000,1828,0.1
210000,1828,0.19
206500,1830,0.13
339600,1830,0.14
339400,1830,0.14
178000,1833,0.13
245000,1833,0.15
315000,1834,0.16
270000,1834,0.16
245000,1837,0.15
215000,1840,0.16
47400,1840,0.21
239000,1842,0.22
318400,1845,0.14
229000,1845,0.24
245000,1848,10.03
203000,1850,0.24
367500,1856,0.15
340000,1856,1.1
248000,1861,0.23
215000,1867,0.11
299900,1870,0.48
188000,1871,0.4
201000,1874,0.19
189000,1874,0.24
253000,1881,0.14
232000,1882,0.1
182000,1895,0.13
239000,1896,0.23
243000,1897,0.14
216000,1904,0.14
308800,1905,0.13
343300,1905,0.14
309000,1905,0.19
246000,1913,0.17
245000,1914,0.15
280000,1917,0.22
243100,1918,0.13
237100,1918,0.13
242000,1918,0.15
241300,1918,0.15
238000,1918,0.15
233000,1918,0.15
335900,1921,0.14
403500,1927,5.08
240000,1930,0.09
227000,1930,0.18
220000,1930,0.19
299800,1939,0.13
317900,1939,0.16
301000,1945,0.4
220000,1948,0.16
292500,1950,0.16
210000,1950,0.19
107600,1952,0.15
254900,1952,0.16
276500,1954,0.14
222000,1956,0.14
254900,1956,0.22
265000,1964,0.13
212500,1969,0.15
270000,1971,0.12
302000,1971,0.14
245000,1976,0.19
249000,1981,0.16
289700,1984,0.13
274000,1984,1.18
278500,1986,0.14
305000,1988,0.23
256100,1990,0.21
300000,1991,0.24
272500,1991,0.24
252000,1991,0.24
281500,1992,0.11
273300,1996,0.13
267500,1997,0.09
255000,1997,0.09
233000,2001,0.23
299000,2006,0.1
325000,2008,0.22
284100,2010,0.13
235000,2012,0.18
270000,2014,0.18
275000,2014,0.25
245000,2014,0.28
289900,2018,0.16
264900,2022,0.1
207000,2022,0.1
215000,2025,0.2
230000,2025,0.2
253800,2026,0.19
195000,2028,0.15
270000,2033,0.17
287900,2037,0.13
315000,2042,0.14
300000,2042,0.14
310000,2042,0.28
289900,2045,0.15
289900,2045,0.23
382300,2046,0.15
259700,2046,0.15
267600,2046,0.15
197000,2048,0.2
65000,2048,2.5
365300,2049,0.14
273800,2051,0.16
350000,2052,0.14
280000,2057,0.17
340000,2059,0.17
255000,2061,0.13
346600,2063,0.14
308700,2064,0.1
296700,2064,0.1
300200,2064,0.11
220000,2066,0.15
239000,2066,0.2
179900,2069,0.12
286400,2069,0.13
257000,2070,0.13
258000,2070,0.15
259900,2070,0.21
299900,2072,0.14
280100,2073,0.14
270000,2077,0.21
305000,2080,0.15
204500,2084,0.06
295000,2084,0.16
240500,2085,0.18
295000,2091,0.13
248000,2091,0.16
290000,2091,0.17
235800,2091,0.19
290000,2092,0.23
292500,2102,0.52
300000,2107,0.15
220000,2108,0.25
280000,2122,0.24
307900,2128,0.1
310100,2128,0.1
294000,2128,0.1
305000,2128,0.1
285700,2128,0.1
303800,2128,0.1
288500,2128,0.1
289000,2128,0.1
275700,2128,0.1
325000,2128,0.11
300200,2128,0.11
279500,2128,0.11
289900,2128,0.14
275000,2128,0.16
308500,2128,0.17
228000,2133,0.11
231000,2140,0.14
285000,2144,0.1
274000,2144,0.13
265000,2145,0.13
272500,2145,0.13
290000,2148,0.1
280200,2148,0.1
281500,2148,0.1
281200,2148,0.11
264100,2148,0.12
300500,2156,0.11
282600,2156,0.12
260000,2156,0.26
271000,2159,0.25
