CustomerID,Recency,Frequency,MonetaryValue,R,F,M,RFM_Score,RFM_Segment
12346,326,1,77183.6,1,1,3,5,113
12347,2,182,4310,3,3,3,9,333
12348,75,31,1797.24,2,2,3,7,223
12349,19,73,1757.55,3,3,3,9,333
12350,310,17,334.4,1,1,1,3,111
12352,36,85,2506.04,2,3,3,8,233
12353,204,4,89,1,1,1,3,111
12354,232,58,1079.4,1,2,2,5,122
12355,214,13,459.4,1,1,2,4,112
12356,23,59,2811.43,3,2,3,8,323
12357,33,131,6207.67,2,3,3,8,233
12358,2,19,1168.06,3,1,2,6,312
12359,58,245,6310.03,2,3,3,8,233
12360,52,129,2662.06,2,3,3,8,233
12361,287,10,189.9,1,1,1,3,111
12362,3,266,5226.23,3,3,3,9,333
12363,110,23,552,1,1,2,4,112
12364,8,85,1313.1,3,3,3,9,333
12365,291,22,641.38,1,1,2,4,112
12367,4,11,168.9,3,1,1,5,311
12370,51,166,3541.94,2,3,3,8,233
12371,45,63,1887.96,2,2,3,7,223
12372,72,52,1298.04,2,2,3,7,223
12373,311,14,364.6,1,1,1,3,111
12374,25,33,742.93,3,2,2,7,322
12375,11,17,457.5,3,1,2,6,312
12377,315,77,1628.12,1,3,3,7,133
12378,130,219,4008.62,1,3,3,7,133
12379,82,40,852.24,2,2,2,6,222
12380,22,104,2724.81,3,3,3,9,333
12381,5,87,1845.31,3,3,3,9,333
12383,185,99,1850.56,1,3,3,7,133
12384,29,27,585.27,2,2,2,6,222
12386,338,10,401.9,1,1,2,4,112
12388,16,100,2780.66,3,3,3,9,333
12390,80,32,549.84,2,2,2,6,222
12391,22,93,439.66,3,3,2,8,332
12393,72,64,1582.6,2,2,3,7,223
12394,64,27,1272.48,2,2,3,7,223
12395,19,156,3018.63,3,3,3,9,333
12397,36,126,2409.9,2,3,3,8,233
12398,46,85,1635.66,2,3,3,8,233
12399,119,59,1108.65,1,2,2,5,122
12401,303,5,84.3,1,1,1,3,111
12402,323,11,225.6,1,1,1,3,111
12403,50,5,427.7,2,1,2,5,212
12405,149,54,1710.39,1,2,3,6,123
12406,22,105,3415.3,3,3,3,9,333
