sale_price,sq_ft,acreage
405000,2757,0.17
535000,3777,0.41
410000,2999,0.15
293000,1649,0.23
315000,2014,0.16
352000,3019,0.16
294500,2000,0.19
380000,2009,0.25
382000,2228,0.25
365000,2360,0.11
405000,2901,0.14
330000,2542,0.13
420000,2576,0.16
660000,3240,0.63
400000,2678,0.24
529000,3261,0.23
405000,2701,0.24
482500,3073,0.24
431000,2832,0.39
560000,3297,0.41
355000,2815,0.13
442000,3134,0.17
520000,3128,0.21
220000,1570,0.22
422000,2815,0.23
340000,1969,0.24
610000,3558,0.31
410000,2777,0.33
75000,1625,0.1
315000,2128,0.1
355000,2414,0.13
385000,2310,0.19
262000,2134,0.21
365000,2115,0.25
512000,3458,0.32
650000,4407,0.32
574500,3934,0.34
390000,2680,0.35
300000,2380,0.36
660000,3484,0.47
749900,5799,0.5
148100,2608,0.17
590000,4086,0.49
215000,1482,0.11
603000,3870,0.23
666500,4351,0.38
689900,3881,0.51
435000,2808,0.59
440000,3045,0.21
390000,2816,0.26
780000,3658,0.3
425000,3036,0.28
425000,2944,0.19
375000,2547,0.32
334000,2321,0.17
420000,2629,0.17
336000,2229,0.14
235000,1498,0.14
270000,2202,0.19
390000,2985,0.22
675000,3559,0.32
526000,3475,0.21
689000,3595,0.26
439200,2685,0.21
510000,3190,0.4
299000,2006,0.1
325000,3140,0.13
260000,2322,0.14
265000,1792,0.14
395000,2909,0.14
399000,2345,0.16
565000,3968,0.21
510000,3001,0.23
340000,2432,0.24
456857,2846,0.24
525000,3190,0.28
785000,6084,0.84
335000,2434,0.1
450500,3178,0.22
442500,2878,0.25
750000,4567,0.47
280000,2022,0.12
575000,3141,0.75
255000,1720,0.14
315000,2325,0.17
455000,2615,0.19
345000,3040,0.23
535000,3506,0.3
510000,2873,0.34
290000,2321,0.26
341000,2862,0.12
317900,2008,0.14
325000,2350,0.39
490000,4541,0.28
484000,2755,0.32
425000,2630,0.14
275000,2042,0.2
665000,3934,0.43
209000,1340,0.12
265500,1859,0.14
439000,3058,0.24
604000,3196,0.24
62200,2434,0.11
329900,2515,0.16
439900,2987,0.21
440000,3316,0.21
270000,1626,0.25
400000,2514,0.27
455000,2376,0.27
265000,1955,0.14
305000,2062,0.16
395000,2847,0.16
359000,2547,0.21
448900,2882,0.23
349500,2480,0.13
300000,1966,0.15
500000,3397,0.27
431200,2654,0.3
313000,2153,0.14
318000,1920,0.23
485000,3438,0.24
540000,3842,0.28
720000,5018,0.51
670000,4276,0.67
423000,2883,0.26
365000,3127,0.1
395000,2569,0.18
440000,3277,0.19
322500,2550,0.1
335000,2617,0.1
544000,3462,0.51
212000,1378,0.12
989000,3937,0.28
185000,1365,0.11
400000,3105,0.17
405000,2684,0.19
475000,3184,0.17
319900,2649,0.19
425000,2924,0.22
480000,3359,0.52
450000,3419,0.27
600000,3870,0.36
519857,3137,0.17
