date, value
7/1/59,1.964
7/2/59,1.971
7/6/59,1.97
7/7/59,1.971
7/8/59,1.964
7/9/59,1.955
7/10/59,1.956
7/13/59,1.961
7/14/59,1.955
7/15/59,1.953
7/16/59,1.951
7/17/59,1.944
7/20/59,1.954
7/21/59,1.947
7/22/59,1.945
7/23/59,1.942
7/24/59,1.944
7/27/59,1.953
7/28/59,1.945
7/29/59,1.945
7/30/59,1.95
7/31/59,1.962
8/3/59,1.956
8/4/59,1.967
8/5/59,1.956
8/6/59,1.953
8/7/59,1.953
8/10/59,1.955
8/11/59,1.96
8/12/59,1.954
8/13/59,1.951
8/14/59,1.954
8/17/59,1.955
8/18/59,1.952
8/19/59,1.955
8/20/59,1.953
8/21/59,1.953
8/24/59,1.971
8/25/59,1.967
8/26/59,1.97
8/27/59,1.964
8/28/59,1.964
8/31/59,1.972
9/1/59,1.977
9/2/59,1.983
9/3/59,1.982
9/4/59,1.981
9/8/59,1.975
9/9/59,1.967
9/10/59,1.966
9/11/59,1.966
9/14/59,1.966
9/15/59,1.967
9/16/59,1.957
9/17/59,1.957
9/18/59,1.961
9/21/59,1.96
9/22/59,1.942
9/23/59,1.953
9/24/59,1.953
9/25/59,1.946
9/28/59,1.946
9/29/59,1.952
9/30/59,1.964
10/1/59,1.96
10/2/59,1.963
10/5/59,1.957
10/6/59,1.966
10/7/59,1.97
10/8/59,1.97
10/9/59,1.966
10/12/59,1.974
10/13/59,1.973
10/14/59,1.967
10/15/59,1.965
10/16/59,1.976
10/19/59,1.975
10/20/59,1.981
10/21/59,2
10/22/59,2.003
10/23/59,2.007
10/26/59,2.003
10/27/59,2.003
10/28/59,2.011
10/29/59,1.996
10/30/59,2.003
11/2/59,2.005
11/3/59,2.004
11/4/59,2
11/5/59,1.996
11/6/59,1.997
11/9/59,2.01
11/10/59,2.02
11/11/59,2.014
11/12/59,2.015
11/13/59,2.026
11/16/59,2.02
11/17/59,2.01
11/18/59,2.005
11/19/59,1.994
11/20/59,1.983
11/23/59,1.977
11/24/59,1.995
11/25/59,2.0084
11/27/59,2.0124
11/30/59,2.022
12/1/59,2.032
12/2/59,2.036
12/3/59,2.031
12/4/59,2.03
12/7/59,2.026
12/8/59,2.017
12/9/59,2.016
12/10/59,2.016
12/11/59,2.012
12/14/59,2.016
12/15/59,2.024
12/16/59,2.023
12/17/59,2.006
12/18/59,2.012
12/21/59,2.014
12/22/59,2.013
12/23/59,2.025
12/24/59,2.031
12/28/59,2.033
12/29/59,2.036
12/30/59,2.041
12/31/59,2.042
1/4/60,2.047
1/5/60,2.037
1/6/60,2.037
1/7/60,2.034
1/8/60,2.042
1/11/60,2.045
1/12/60,2.043
1/13/60,2.034
1/14/60,2.023
1/15/60,2.026
1/18/60,2.026
1/19/60,2.021
1/20/60,2.016
1/21/60,2.022
1/22/60,2.022
1/25/60,2.023
1/26/60,2.031
1/27/60,2.021
1/28/60,2.02
1/29/60,2.005
2/1/60,1.995
2/2/60,1.991
2/3/60,1.991
2/4/60,1.984
2/5/60,1.986
2/8/60,1.985
2/9/60,1.99
2/10/60,1.982
2/11/60,1.991
2/12/60,2.001
2/15/60,1.995
2/16/60,2.002
2/17/60,1.997
2/18/60,1.995
2/19/60,1.997
2/23/60,1.995
2/24/60,1.9958
2/25/60,1.984
2/26/60,1.9846
2/29/60,1.996
3/1/60,2.001
3/2/60,2.001
3/3/60,2.005
3/4/60,2
3/7/60,2.01
3/8/60,2.017
3/9/60,2.016
3/10/60,2.005
3/11/60,2.017
3/14/60,2.034
3/15/60,2.042
3/16/60,2.046
3/17/60,2.042
3/18/60,2.041
3/21/60,2.051
3/22/60,2.055
3/23/60,2.071
3/24/60,2.083
3/25/60,2.076
3/28/60,2.063
3/29/60,2.063
3/30/60,2.074
3/31/60,2.075
4/1/60,2.082
4/4/60,2.08
4/5/60,2.077
4/6/60,2.083
4/7/60,2.087
4/8/60,2.075
4/11/60,2.063
4/12/60,2.072
4/13/60,2.057
4/14/60,2.057
4/18/60,2.064
4/19/60,2.072
4/20/60,2.08
4/21/60,2.084
4/22/60,2.087
4/25/60,2.081
4/26/60,2.0362
4/27/60,1.9982
4/28/60,1.9452
4/29/60,1.9006
5/2/60,1.846
5/3/60,1.852
5/4/60,1.855
5/5/60,1.856
5/6/60,1.853
5/9/60,1.855
5/10/60,1.854
5/11/60,1.851
5/12/60,1.851
5/13/60,1.85
5/16/60,1.854
5/17/60,1.856
5/18/60,1.856
5/19/60,1.856
5/20/60,1.86
5/23/60,1.86
5/24/60,1.85
5/25/60,1.846
5/26/60,1.845
5/27/60,1.845
5/31/60,1.845
6/1/60,1.846
6/2/60,1.845
6/3/60,1.85
6/6/60,1.843
6/7/60,1.842
6/8/60,1.846
6/9/60,1.852
6/10/60,1.85
6/13/60,1.844
6/14/60,1.841
6/15/60,1.842
6/16/60,1.842
6/17/60,1.835
6/20/60,1.825
6/21/60,1.825
6/22/60,1.821
6/23/60,1.821
6/24/60,1.817
6/27/60,1.8288
6/28/60,1.835
6/29/60,1.8408
6/30/60,1.8524
7/1/60,1.86
7/5/60,1.866
7/6/60,1.86
7/7/60,1.851
7/8/60,1.847
7/11/60,1.85
7/12/60,1.853
7/13/60,1.855
7/14/60,1.855
7/15/60,1.846
7/18/60,1.837
7/19/60,1.83
7/20/60,1.832
7/21/60,1.842
7/22/60,1.836
7/25/60,1.831
7/26/60,1.835
7/27/60,1.841
7/28/60,1.842
7/29/60,1.84
8/1/60,1.847
8/2/60,1.847
8/3/60,1.852
8/4/60,1.861
8/5/60,1.863
8/8/60,1.862
8/9/60,1.857
8/10/60,1.856
8/11/60,1.854
8/12/60,1.856
8/15/60,1.856
8/16/60,1.85
8/17/60,1.85
8/18/60,1.852
8/19/60,1.856
8/22/60,1.857
8/23/60,1.857
8/24/60,1.86
8/25/60,1.86
8/26/60,1.875
8/29/60,1.887
8/30/60,1.8906
8/31/60,1.9012
9/1/60,1.923
9/2/60,1.922
9/6/60,1.922
9/7/60,1.92
9/8/60,1.924
9/9/60,1.93
9/12/60,1.926
9/13/60,1.932
9/14/60,1.931
9/15/60,1.933
9/16/60,1.932
9/19/60,1.927
9/20/60,1.93
9/21/60,1.933
9/22/60,1.934
9/23/60,1.937
9/26/60,1.944
9/27/60,1.947
9/28/60,1.95
9/29/60,1.951
9/30/60,1.945
10/3/60,1.952
10/4/60,1.961
10/5/60,1.96
10/6/60,1.957
10/7/60,1.96
10/10/60,1.953
10/11/60,1.956
10/12/60,1.96
10/13/60,1.957
10/14/60,1.953
10/17/60,1.951
10/18/60,1.947
10/19/60,1.956
10/20/60,1.96
10/21/60,1.965
10/24/60,1.966
10/25/60,1.964
10/26/60,1.975
10/27/60,1.98
10/28/60,1.983
10/31/60,1.992
11/1/60,1.995
11/2/60,1.997
11/3/60,2.012
11/4/60,2.002
11/7/60,2
11/9/60,2.005
11/10/60,1.987
11/11/60,1.997
11/14/60,2.002
11/15/60,1.996
11/16/60,1.991
11/17/60,1.987
11/18/60,2.004
11/21/60,2.01
11/22/60,2.017
11/23/60,2.036
11/25/60,2.0304
11/28/60,2.0252
11/29/60,2.0386
11/30/60,2.0516
12/1/60,2.047
12/2/60,2.046
12/5/60,2.051
12/6/60,2.05
12/7/60,2.055
12/8/60,2.061
12/9/60,2.066
12/12/60,2.066
12/13/60,2.053
12/14/60,2.057
12/15/60,2.056
12/16/60,2.057
12/19/60,2.052
12/20/60,2.063
12/21/60,2.075
12/22/60,2.077
12/23/60,2.081
12/27/60,2.07
12/28/60,2.077
12/29/60,2.083
12/30/60,2.085
1/3/61,2.084
1/4/61,2.097
1/5/61,2.105
1/6/61,2.122
1/9/61,2.107
1/10/61,2.106
1/11/61,2.095
1/12/61,2.087
1/13/61,2.096
1/16/61,2.105
1/17/61,2.112
1/18/61,2.106
1/19/61,2.111
1/20/61,2.11
1/23/61,2.117
1/24/61,2.125
1/25/61,2.137
1/26/61,2.145
1/27/61,2.151
1/30/61,2.153
1/31/61,2.132
2/1/61,2.141
2/2/61,2.144
2/3/61,2.141
2/6/61,2.136
