folio,site_address,SiteCity,site_zip,sale_date,sale_price,bed,bath,year_built,sq_ft,total_sq_ft,neighborhood,total_stories,qualified,acreage
880790710,15941 FISHHAWK VIEW DR,LITHIA,33547,8/5/16,117000,2,2.5,2012,1216,1280,Fishhawk West Area,2,Qualified,0.02
880790706,15945 FISHHAWK VIEW DR,LITHIA,33547,4/28/16,118000,2,2.5,2012,1216,1280,Fishhawk West Area,2,Qualified,0.02
880790756,15944 FISHHAWK VIEW DR,LITHIA,33547,8/5/16,121000,2,2.5,2011,1216,1280,Fishhawk West Area,2,Qualified,0.02
741248296,6214 OSPREY LAKE CIR,RIVERVIEW,33578,2/22/18,123000,3,2.5,2003,1506,1640,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.02
880790734,15977 FISHHAWK VIEW DR,LITHIA,33547,8/11/16,125000,2,2.5,2012,1216,1280,Fishhawk West Area,2,Qualified,0.02
880790730,15981 FISHHAWK VIEW DR,LITHIA,33547,8/31/17,133000,2,2.5,2012,1216,1280,Fishhawk West Area,2,Qualified,0.02
880790768,15816 FISHHAWK VIEW DR,LITHIA,33547,4/13/18,137500,2,2.5,2011,1216,1280,Fishhawk West Area,2,Qualified,0.02
880790752,15940 FISHHAWK VIEW DR,LITHIA,33547,11/5/17,140000,2,2.5,2011,1216,1280,Fishhawk West Area,2,Qualified,0.02
880790728,15983 FISHHAWK VIEW DR,LITHIA,33547,3/20/18,144000,2,2.5,2012,1216,1280,Fishhawk West Area,2,Qualified,0.02
880800474,5531 KINGLETHILL DR,LITHIA,33547,7/1/16,160000,3,2.5,2009,1760,2197,Fishhawk West Area,2,Qualified,0.02
880800382,16613 KINGLETRIDGE AVE,LITHIA,33547,6/8/18,169000,3,2.5,2011,1594,2045,Fishhawk West Area,2,Qualified,0.02
880800418,5718 KINGLETSOUND PL,LITHIA,33547,11/1/16,170000,3,2.5,2012,1594,2045,Fishhawk West Area,2,Qualified,0.02
880800574,5718 KINGLETHILL DR,LITHIA,33547,7/20/16,172000,3,2.5,2012,1594,2045,Fishhawk West Area,2,Qualified,0.02
880800520,16613 KINGLETSIDE CT,LITHIA,33547,10/3/16,172000,3,2.5,2012,1594,2045,Fishhawk West Area,2,Qualified,0.02
880800450,5604 KINGLETSOUND PL,LITHIA,33547,6/17/16,175000,3,2.5,2010,1760,2197,Fishhawk West Area,2,Qualified,0.02
880800472,5529 KINGLETHILL DR,LITHIA,33547,8/19/16,175000,3,2.5,2009,1594,2045,Fishhawk West Area,2,Qualified,0.02
880800334,16507 KINGLETRIDGE AVE,LITHIA,33547,9/30/16,175000,3,2.5,2008,1594,2045,Fishhawk West Area,2,Qualified,0.02
880800430,5706 KINGLETSOUND PL,LITHIA,33547,1/13/17,175000,3,2.5,2011,1594,2045,Fishhawk West Area,2,Qualified,0.02
880800606,16438 KINGLETRIDGE AVE,LITHIA,33547,11/9/16,176000,3,2.5,2008,1760,2197,Fishhawk West Area,2,Qualified,0.02
880800364,16537 KINGLETRIDGE AVE,LITHIA,33547,8/15/17,177000,3,2.5,2009,1594,2045,Fishhawk West Area,2,Qualified,0.02
880800582,5727 KINGLETHILL DR,LITHIA,33547,3/25/16,178000,3,2.5,2008,1760,2197,Fishhawk West Area,2,Qualified,0.02
880800544,5731 KINGLETSOUND PL,LITHIA,33547,4/28/17,178000,3,2.5,2013,1594,2045,Fishhawk West Area,2,Qualified,0.02
880800466,5523 KINGLETHILL DR,LITHIA,33547,7/27/17,178000,3,2.5,2009,1594,2045,Fishhawk West Area,2,Qualified,0.02
880800580,5725 KINGLETHILL DR,LITHIA,33547,8/15/16,179900,3,2.5,2008,1594,2045,Fishhawk West Area,2,Qualified,0.02
880800324,16431 KINGLETRIDGE AVE,LITHIA,33547,6/30/16,180000,3,2.5,2008,1760,2197,Fishhawk West Area,2,Qualified,0.02
880800594,5739 KINGLETHILL DR,LITHIA,33547,8/22/16,180000,3,2.5,2008,1760,2197,Fishhawk West Area,2,Qualified,0.02
