week,period,price,competitor_price,transactions,revenue,cost,profit
1,pre,2.89,2.9649014245903373,162,468.18,226.79999999999998,241.38000000000002
2,pre,2.89,2.9458520709648646,1994,5762.66,2791.6,2971.06
3,pre,2.89,2.969430656143021,7439,21498.71,10414.599999999999,11084.11
4,pre,2.89,2.995690895692241,13581,39249.090000000004,19013.399999999998,20235.690000000006
5,pre,2.89,2.9429753987583003,19049,55051.61,26668.6,28383.010000000002
6,pre,2.89,2.9429758912915247,21170,61181.3,29637.999999999996,31543.300000000007
7,pre,2.89,2.997376384465222,22946,66313.94,32124.399999999998,34189.54000000001
8,pre,2.89,2.9730230418745873,24964,72145.96,34949.6,37196.36000000001
9,pre,2.89,2.9359157684219515,26372,76215.08,36920.799999999996,39294.280000000006
10,pre,2.89,2.966276801307579,26798,77446.22,37517.2,39929.020000000004
11,pre,2.89,2.9360974692156265,26713,77200.57,37398.2,39802.37000000001
12,pre,2.89,2.9360281073928927,26562,76764.18000000001,37186.799999999996,39577.38000000001
13,pre,2.89,2.9572588681469814,25680,74215.2,35952.0,38263.2
14,pre,2.89,2.892601592660266,25642,74105.38,35898.799999999996,38206.58000000001
15,pre,2.89,2.8982524650246093,25882,74798.98000000001,36234.799999999996,38564.180000000015
16,pre,2.89,2.933131374122771,27386,79145.54000000001,38340.399999999994,40805.140000000014
17,post,2.99,2.9196150663899676,26824,80203.76000000001,37553.6,42650.16000000001
18,post,2.99,2.9594274199778585,25095,75034.05,35133.0,39901.05
19,post,2.99,2.922759277734364,25751,76995.49,36051.399999999994,40944.09000000001
20,post,2.99,2.9076308889599414,25522,76310.78,35730.799999999996,40579.98
21,post,2.99,2.9939694630676468,25521,76307.79000000001,35729.399999999994,40578.390000000014
22,post,2.99,2.943226710985404,26385,78891.15000000001,36939.0,41952.15000000001
23,post,2.99,2.952025846140638,27241,81450.59000000001,38137.399999999994,43313.19000000002
24,post,2.99,2.9072575544135963,27470,82135.3,38458.0,43677.3
25,post,2.99,2.933668518264245,26292,78613.08,36808.799999999996,41804.280000000006
26,post,2.99,2.9533276776912962,26244,78469.56000000001,36741.6,41727.960000000014
27,post,2.99,2.915470192677331,26631,79626.69,37283.399999999994,42343.29000000001
28,post,2.99,2.9612709405503703,27562,82410.38,38586.799999999996,43823.58000000001
29,post,2.99,2.9319808393024362,26777,80063.23000000001,37487.799999999996,42575.430000000015
30,post,2.99,2.9412491875062017,26699,79830.01000000001,37378.6,42451.41000000001
31,post,2.99,2.9319488016331183,25940,77560.6,36316.0,41244.600000000006
32,post,2.99,3.005568345535268,25793,77121.07,36110.2,41010.87000000001
